26-06-04 21:39:06: Training starting...
Episode 308: total reward -41.1, steps 193
Episode 309: total reward -54.8, steps 95
Episode 310: total reward -216.0, steps 99
Episode 311: total reward -103.2, steps 110
Episode 312: total reward -37.7, steps 131
Episode 313: total reward -137.0, steps 137
Episode 314: total reward -111.2, steps 118
Episode 315: total reward -91.2, steps 195
Episode 316: total reward -46.8, steps 171
Episode 317: total reward -7.1, steps 157
Episode 318: total reward -243.2, steps 158
Episode 319: total reward -135.7, steps 134
Episode 320: total reward -45.3, steps 157
Episode 321: total reward -71.7, steps 179
Episode 322: total reward -45.2, steps 174
Episode 323: total reward -83.5, steps 123
26-06-04 21:39:13: Episode 323 | New best mean reward: -111.9
Episode 324: total reward -165.3, steps 224
Episode 325: total reward -170.5, steps 158
Episode 326: total reward -147.5, steps 168
Episode 327: total reward -59.7, steps 89
Episode 328: total reward -62.8, steps 87
Episode 329: total reward -14.1, steps 122
26-06-04 21:39:13: Episode 329 | New best mean reward: -111.5
Episode 330: total reward -68.4, steps 104
26-06-04 21:39:13: Episode 330 | New best mean reward: -109.6
Episode 331: total reward -151.7, steps 175
26-06-04 21:39:13: Episode 331 | New best mean reward: -107.5
Episode 332: total reward -25.5, steps 112
26-06-04 21:39:13: Episode 332 | New best mean reward: -106.9
Episode 333: total reward -85.2, steps 119
26-06-04 21:39:13: Episode 333 | New best mean reward: -106.2
Episode 334: total reward -30.0, steps 122
26-06-04 21:39:13: Episode 334 | New best mean reward: -105.8
Episode 335: total reward -52.0, steps 136
26-06-04 21:39:13: Episode 335 | New best mean reward: -105.8
Episode 336: total reward -41.1, steps 145
26-06-04 21:39:13: Episode 336 | New best mean reward: -104.4
Episode 337: total reward -58.4, steps 103
Episode 338: total reward -77.3, steps 185
26-06-04 21:39:13: Episode 338 | New best mean reward: -103.9
Episode 339: total reward -48.2, steps 92
26-06-04 21:39:13: Episode 339 | New best mean reward: -103.7
Episode 340: total reward -73.1, steps 121
26-06-04 21:39:13: Episode 340 | New best mean reward: -103.0
Episode 341: total reward 7.2, steps 119
26-06-04 21:39:13: Episode 341 | New best mean reward: -101.1
Episode 342: total reward -107.0, steps 170
26-06-04 21:39:13: Episode 342 | New best mean reward: -100.9
Episode 343: total reward -41.0, steps 107
26-06-04 21:39:13: Episode 343 | New best mean reward: -99.5
Episode 344: total reward -347.3, steps 138
Episode 345: total reward -44.7, steps 88
Episode 346: total reward -396.3, steps 141
Episode 347: total reward -102.9, steps 84
Episode 348: total reward 33.0, steps 104
Episode 349: total reward -321.1, steps 110
Episode 350: total reward -288.9, steps 139
Episode 351: total reward -45.5, steps 131
Episode 352: total reward -165.2, steps 207
Episode 353: total reward -138.4, steps 162
Episode 354: total reward -22.4, steps 166
Episode 355: total reward -37.3, steps 110
Episode 356: total reward -30.2, steps 148
Episode 357: total reward -69.5, steps 144
Episode 358: total reward -111.3, steps 139
Episode 359: total reward -137.0, steps 104
Episode 360: total reward -57.1, steps 172
Episode 361: total reward -49.9, steps 113
Episode 362: total reward -71.9, steps 122
Episode 363: total reward -99.0, steps 115
Episode 364: total reward -48.9, steps 143
Episode 365: total reward -11.2, steps 97
Episode 366: total reward -19.5, steps 131
Episode 367: total reward -228.1, steps 143
Episode 368: total reward -100.8, steps 134
Episode 369: total reward -36.4, steps 113
Episode 370: total reward -77.6, steps 130
26-06-04 21:39:14: Episode 370 | New best mean reward: -98.7
Episode 371: total reward -47.2, steps 157
26-06-04 21:39:14: Episode 371 | New best mean reward: -96.8
Episode 372: total reward -228.8, steps 135
Episode 373: total reward -28.3, steps 124
Episode 374: total reward -75.5, steps 75
Episode 375: total reward -35.2, steps 145
Episode 376: total reward -36.7, steps 96
26-06-04 21:39:14: Episode 376 | New best mean reward: -96.7
Episode 377: total reward -57.1, steps 198
26-06-04 21:39:14: Episode 377 | New best mean reward: -96.6
Episode 378: total reward -67.4, steps 174
26-06-04 21:39:14: Episode 378 | New best mean reward: -96.6
Episode 379: total reward -54.4, steps 103
26-06-04 21:39:14: Episode 379 | New best mean reward: -95.5
Episode 380: total reward -83.0, steps 128
Episode 381: total reward -80.5, steps 121
Episode 382: total reward -72.3, steps 156
26-06-04 21:39:14: Episode 382 | New best mean reward: -94.4
Episode 383: total reward -130.9, steps 133
Episode 384: total reward -150.5, steps 164
Episode 385: total reward 7.0, steps 154
Episode 386: total reward -22.9, steps 155
26-06-04 21:39:14: Episode 386 | New best mean reward: -93.6
Episode 387: total reward -15.0, steps 206
26-06-04 21:39:14: Episode 387 | New best mean reward: -92.6
Episode 388: total reward -39.6, steps 118
26-06-04 21:39:14: Episode 388 | New best mean reward: -91.4
Episode 389: total reward -31.1, steps 94
26-06-04 21:39:14: Episode 389 | New best mean reward: -91.3
Episode 390: total reward -55.5, steps 111
26-06-04 21:39:14: Episode 390 | New best mean reward: -90.8
Episode 391: total reward -40.8, steps 99
Episode 392: total reward 43.2, steps 1000
26-06-04 21:39:14: Episode 392 | New best mean reward: -89.3
Episode 393: total reward -202.6, steps 163
Episode 394: total reward 25.0, steps 93
26-06-04 21:39:14: Episode 394 | New best mean reward: -89.2
Episode 395: total reward -54.6, steps 112
26-06-04 21:39:14: Episode 395 | New best mean reward: -88.8
Episode 396: total reward 42.4, steps 129
26-06-04 21:39:14: Episode 396 | New best mean reward: -87.7
Episode 397: total reward -14.8, steps 137
26-06-04 21:39:14: Episode 397 | New best mean reward: -86.2
Episode 398: total reward -17.2, steps 113
26-06-04 21:39:14: Episode 398 | New best mean reward: -86.0
Episode 399: total reward -61.0, steps 174
26-06-04 21:39:14: Episode 399 | New best mean reward: -85.8
Episode 400: total reward -10.5, steps 90
26-06-04 21:39:14: Episode 400 | New best mean reward: -84.6
Episode 401: total reward -14.3, steps 148
26-06-04 21:39:14: Episode 401 | New best mean reward: -83.4
Episode 402: total reward -76.8, steps 190
26-06-04 21:39:14: Episode 402 | New best mean reward: -81.2
Episode 403: total reward -80.5, steps 100
26-06-04 21:39:14: Episode 403 | New best mean reward: -81.1
Episode 404: total reward -345.7, steps 189
Episode 405: total reward -335.0, steps 174
Episode 406: total reward -277.1, steps 203
Episode 407: total reward -18.0, steps 133
Episode 408: total reward -48.7, steps 155
Episode 409: total reward 28.9, steps 188
Episode 410: total reward -40.0, steps 169
Episode 411: total reward 38.7, steps 146
Episode 412: total reward 28.3, steps 1000
Episode 413: total reward -67.0, steps 147
Episode 414: total reward -45.8, steps 173
Episode 415: total reward -219.1, steps 177
Episode 416: total reward -25.9, steps 88
Episode 417: total reward -180.1, steps 132
Episode 418: total reward -86.1, steps 128
Episode 419: total reward -47.9, steps 116
Episode 420: total reward -30.7, steps 229
Episode 421: total reward -53.7, steps 136
Episode 422: total reward 33.2, steps 93
26-06-04 21:39:15: Episode 422 | New best mean reward: -80.4
Episode 423: total reward -54.2, steps 112
26-06-04 21:39:15: Episode 423 | New best mean reward: -80.1
Episode 424: total reward -165.1, steps 157
26-06-04 21:39:15: Episode 424 | New best mean reward: -80.1
Episode 425: total reward -93.3, steps 158
26-06-04 21:39:15: Episode 425 | New best mean reward: -79.3
Episode 426: total reward 5.4, steps 140
26-06-04 21:39:15: Episode 426 | New best mean reward: -77.8
Episode 427: total reward -24.8, steps 98
26-06-04 21:39:15: Episode 427 | New best mean reward: -77.5
Episode 428: total reward -46.2, steps 106
26-06-04 21:39:15: Episode 428 | New best mean reward: -77.3
Episode 429: total reward -47.6, steps 71
Episode 430: total reward -66.4, steps 142
Episode 431: total reward -65.2, steps 123
26-06-04 21:39:15: Episode 431 | New best mean reward: -76.7
Episode 432: total reward -193.3, steps 171
Episode 433: total reward -77.6, steps 104
Episode 434: total reward -87.9, steps 150
Episode 435: total reward -71.1, steps 108
Episode 436: total reward -30.7, steps 99
Episode 437: total reward -35.7, steps 90
Episode 438: total reward -6.4, steps 98
Episode 439: total reward -5.3, steps 156
Episode 440: total reward -106.8, steps 136
Episode 441: total reward -29.3, steps 132
Episode 442: total reward -19.7, steps 136
Episode 443: total reward -29.9, steps 78
Episode 444: total reward -109.8, steps 183
26-06-04 21:39:15: Episode 444 | New best mean reward: -75.0
Episode 445: total reward -51.0, steps 133
Episode 446: total reward -296.0, steps 178
26-06-04 21:39:15: Episode 446 | New best mean reward: -74.0
Episode 447: total reward -53.1, steps 91
26-06-04 21:39:15: Episode 447 | New best mean reward: -73.5
Episode 448: total reward -17.3, steps 94
Episode 449: total reward -10.5, steps 124
26-06-04 21:39:16: Episode 449 | New best mean reward: -70.9
Episode 450: total reward -146.8, steps 144
26-06-04 21:39:16: Episode 450 | New best mean reward: -69.5
Episode 451: total reward -35.2, steps 146
26-06-04 21:39:16: Episode 451 | New best mean reward: -69.4
Episode 452: total reward -60.5, steps 143
26-06-04 21:39:16: Episode 452 | New best mean reward: -68.4
Episode 453: total reward -69.0, steps 158
26-06-04 21:39:16: Episode 453 | New best mean reward: -67.7
Episode 454: total reward -88.2, steps 138
Episode 455: total reward -67.8, steps 101
Episode 456: total reward -150.6, steps 159
Episode 457: total reward -12.8, steps 99
Episode 458: total reward -371.6, steps 121
Episode 459: total reward -64.2, steps 104
Episode 460: total reward -26.7, steps 127
Episode 461: total reward -21.2, steps 115
Episode 462: total reward -85.0, steps 140
Episode 463: total reward -210.6, steps 174
Episode 464: total reward 2.3, steps 138
Episode 465: total reward 5.1, steps 174
Episode 466: total reward -54.9, steps 118
Episode 467: total reward -19.7, steps 101
Episode 468: total reward -52.8, steps 76
Episode 469: total reward -35.6, steps 140
Episode 470: total reward -316.4, steps 294
Episode 471: total reward -17.9, steps 193
Episode 472: total reward -16.6, steps 125
Episode 473: total reward -51.2, steps 183
Episode 474: total reward 1.1, steps 170
Episode 475: total reward -36.7, steps 133
Episode 476: total reward -78.9, steps 100
Episode 477: total reward -40.7, steps 157
Episode 478: total reward -32.1, steps 152
Episode 479: total reward -133.2, steps 130
Episode 480: total reward 20.6, steps 89
Episode 481: total reward -32.5, steps 120
26-06-04 21:39:16: Episode 481 | New best mean reward: -67.5
Episode 482: total reward -40.5, steps 118
26-06-04 21:39:16: Episode 482 | New best mean reward: -67.2
Episode 483: total reward -32.2, steps 124
26-06-04 21:39:16: Episode 483 | New best mean reward: -66.2
Episode 484: total reward 3.2, steps 317
26-06-04 21:39:16: Episode 484 | New best mean reward: -64.7
Episode 485: total reward -179.5, steps 119
Episode 486: total reward 54.7, steps 121
Episode 487: total reward -32.0, steps 80
Episode 488: total reward -75.6, steps 179
Episode 489: total reward -15.6, steps 133
Episode 490: total reward -88.4, steps 136
Episode 491: total reward -47.4, steps 133
Episode 492: total reward -10.7, steps 111
Episode 493: total reward 16.3, steps 120
Episode 494: total reward -97.8, steps 96
Episode 495: total reward -359.6, steps 189
Episode 496: total reward 31.0, steps 105
Episode 497: total reward -52.0, steps 143
Episode 498: total reward -280.7, steps 206
Episode 499: total reward -52.3, steps 99
Episode 500: total reward -80.9, steps 128
Episode 501: total reward -38.7, steps 153
Episode 502: total reward -37.4, steps 107
Episode 503: total reward -111.0, steps 145
Episode 504: total reward 0.8, steps 152
Episode 505: total reward -29.3, steps 134
Episode 506: total reward -61.4, steps 149
26-06-04 21:39:17: Episode 506 | New best mean reward: -64.4
Episode 507: total reward -82.0, steps 205
Episode 508: total reward -0.7, steps 146
Episode 509: total reward -17.1, steps 107
Episode 510: total reward 88.9, steps 1000
26-06-04 21:39:17: Episode 510 | New best mean reward: -63.7
Episode 511: total reward 24.1, steps 174
Episode 512: total reward -17.9, steps 152
Episode 513: total reward -17.4, steps 156
Episode 514: total reward -197.8, steps 301
Episode 515: total reward -64.5, steps 113
Episode 516: total reward -96.5, steps 168
Episode 517: total reward -111.9, steps 102
Episode 518: total reward -162.3, steps 181
Episode 519: total reward -8.9, steps 159
Episode 520: total reward -15.6, steps 142
Episode 521: total reward 73.0, steps 1000
26-06-04 21:39:17: Episode 521 | New best mean reward: -62.8
Episode 522: total reward -129.8, steps 90
Episode 523: total reward -16.4, steps 152
Episode 524: total reward -39.3, steps 119
26-06-04 21:39:18: Episode 524 | New best mean reward: -62.8
Episode 525: total reward 17.9, steps 126
26-06-04 21:39:18: Episode 525 | New best mean reward: -61.7
Episode 526: total reward -47.6, steps 85
Episode 527: total reward -56.7, steps 89
Episode 528: total reward -84.3, steps 205
Episode 529: total reward -182.0, steps 205
